Core.ID,Exp.ID,Line,Sex,Treatment,Name,Exp
3235-JF-2,1-025,LCR,Male,Water,1-025,3235
3235-JF-7,1-992,LCR,Male,Water,1-992,3235
3235-JF-9,2-069,LCR,Male,Water,2-069,3235
3235-JF-11,2-095,HCR,Male,Water,2-095,3235
3235-JF-16,3-155,HCR,Male,Water,3-155,3235
3235-JF-18,4-161,LCR,Male,Water,4-161,3235
3235-JF-20,4-176,HCR,Male,Water,4-176,3235
3235-JF-24,4-210,HCR,Male,Water,4-210,3235
3510-JF-1,1-010,LCR,Female,Water,1-010,3510
3510-JF-3,1-035,HCR,Female,Water,1-035,3510
3510-JF-5,1-064,HCR,Female,Water,1-064,3510
3510-JF-10,2-068,LCR,Female,Water,2-068,3510
3510-JF-13,2-098,HCR,Female,Water,2-098,3510
3510-JF-15,3-100,LCR,Female,Water,3-100,3510
3510-JF-18,3-137,LCR,Female,Water,3-137,3510
3510-JF-19,3-142,HCR,Female,Water,3-142,3510
6548-JF-1,899,HCR,Female,Saline,899,6548
6548-JF-4,902,HCR,Female,Saline,902,6548
6548-JF-13,911,HCR,Female,Saline,911,6548
6548-JF-14,912,HCR,Female,Saline,912,6548
6548-JF-5,903,HCR,Male,Saline,903,6548
6548-JF-6,904,HCR,Male,Saline,904,6548
6548-JF-11,909,HCR,Male,Saline,909,6548
6548-JF-12,910,HCR,Male,Saline,910,6548
6548-JF-21,937,LCR,Female,Saline,937,6548
6548-JF-27,963,LCR,Female,Saline,963,6548
6548-JF-31,997,LCR,Female,Saline,997,6548
6548-JF-32,998,LCR,Female,Saline,998,6548
6548-JF-17,933,LCR,Male,Saline,933,6548
6548-JF-19,935,LCR,Male,Saline,935,6548
6548-JF-23,959,LCR,Male,Saline,959,6548
6548-JF-26,962,LCR,Male,Saline,962,6548